stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
0,52.0,44.0,17.0,40.0,54.0,27.0,54.0,o3,sedang
0,60.0,44.0,17.0,41.0,39.0,22.0,60.0,pm10,sedang
0,62.0,44.0,18.0,39.0,60.0,22.0,62.0,pm10,sedang
0,65.0,44.0,25.0,36.0,46.0,20.0,65.0,pm10,sedang
0,55.0,44.0,17.0,30.0,45.0,17.0,55.0,pm10,sedang
0,60.0,44.0,16.0,27.0,65.0,17.0,65.0,o3,sedang
0,62.0,44.0,17.0,31.0,40.0,16.0,62.0,pm10,sedang
0,49.0,44.0,13.0,31.0,29.0,11.0,49.0,pm10,baik
0,57.0,44.0,22.0,44.0,59.0,24.0,59.0,o3,sedang
0,63.0,44.0,14.0,40.0,38.0,20.0,63.0,pm10,sedang
0,48.0,44.0,15.0,31.0,22.0,10.0,48.0,pm10,baik
0,50.0,44.0,16.0,21.0,25.0,10.0,50.0,pm10,baik
0,48.0,44.0,12.0,19.0,47.0,25.0,48.0,pm10,baik
0,57.0,44.0,15.0,36.0,57.0,29.0,57.0,pm10,sedang
0,61.0,44.0,13.0,31.0,48.0,17.0,61.0,pm10,sedang
0,76.0,44.0,16.0,0.0,56.0,26.0,76.0,pm10,sedang
0,60.0,44.0,17.0,38.0,59.0,17.0,60.0,pm10,sedang
0,61.0,44.0,13.0,40.0,80.0,32.0,80.0,o3,sedang
0,60.0,44.0,12.0,42.0,73.0,19.0,73.0,o3,sedang
0,61.0,44.0,16.0,40.0,77.0,26.0,77.0,o3,sedang
0,63.0,44.0,14.0,36.0,35.0,20.0,63.0,pm10,sedang
0,0.0,44.0,15.0,23.0,34.0,10.0,44.0,pm25,baik
0,0.0,44.0,14.0,20.0,27.0,7.0,44.0,pm25,baik
0,54.0,44.0,16.0,20.0,31.0,9.0,54.0,pm10,sedang
0,43.0,44.0,16.0,33.0,28.0,6.0,44.0,pm25,baik
0,53.0,44.0,15.0,27.0,44.0,11.0,53.0,pm10,sedang
0,60.0,44.0,17.0,34.0,37.0,25.0,60.0,pm10,sedang
0,54.0,44.0,14.0,43.0,46.0,15.0,54.0,pm10,sedang
0,60.0,44.0,15.0,45.0,74.0,29.0,74.0,o3,sedang
0,39.0,44.0,12.0,40.0,34.0,26.0,44.0,pm25,baik
0,44.0,44.0,17.0,36.0,29.0,14.0,44.0,pm10,baik
0,52.0,44.0,14.0,45.0,30.0,15.0,52.0,pm10,sedang
0,48.0,44.0,18.0,28.0,71.0,21.0,71.0,o3,sedang
0,65.0,44.0,17.0,34.0,48.0,16.0,65.0,pm10,sedang
0,51.0,44.0,18.0,23.0,43.0,12.0,51.0,pm10,sedang
0,68.0,44.0,18.0,80.0,45.0,17.0,80.0,co,sedang
0,45.0,44.0,15.0,25.0,33.0,17.0,45.0,pm10,baik
